date	crude
12/23/02	30.76
12/24/02	30.76
12/25/02	30.76
12/26/02	30.76
12/27/02	31.39
12/30/02	30.93
12/31/02	30.93
01/01/03	30.93
01/02/03	30.62
01/03/03	31.61
01/06/03	31.77
01/07/03	30.82
01/08/03	29.48
01/09/03	30.04
01/10/03	30.55
01/13/03	30.75
01/14/03	31.5
01/15/03	31.81
01/16/03	32.07
01/17/03	31.76
01/20/03	32.11
01/21/03	31.65
01/22/03	31.84
01/23/03	30.86
01/24/03	30.9
01/27/03	30.58
01/28/03	30.63
01/29/03	31.21
01/30/03	31.46
01/31/03	31.75
02/03/03	30.9
02/04/03	31.02
02/05/03	31.44
02/06/03	31.86
02/07/03	32.23
02/10/03	32.06
02/11/03	32.55
02/12/03	32.42
02/13/03	33.19
02/14/03	33.53
02/17/03	33.03
02/18/03	33.11
02/19/03	32.98
02/20/03	32.44
02/21/03	32.71
02/24/03	33.31
02/25/03	33.43
02/26/03	33.54
02/27/03	33.85
02/28/03	34.29
03/03/03	33.31
03/04/03	34.28
03/05/03	33.99
03/06/03	34.44
03/07/03	34.48
03/10/03	34.69
03/11/03	33.78
03/12/03	34.3
03/13/03	33.83
03/14/03	31.13
03/17/03	29.9
03/18/03	28.32
03/19/03	28.23
03/20/03	27.58
03/21/03	25.17
03/24/03	26.42
03/25/03	26.84
03/26/03	26.17
03/27/03	27.41
03/28/03	28.05
03/31/03	28
04/01/03	28
04/02/03	26.37
04/03/03	26.83
04/04/03	25.03
04/07/03	24.91
04/08/03	25.09
04/09/03	24.9
04/10/03	24.99
04/11/03	24.04
04/14/03	24.54
04/15/03	24.68
04/16/03	24.75
04/17/03	25.31
04/18/03	25.31
04/21/03	25.31
04/22/03	25.66
04/23/03	24.42
04/24/03	23.48
04/25/03	24.05
04/28/03	23.17
04/29/03	22.98
04/30/03	23.52
05/01/03	23.97
05/02/03	23.41
05/05/03	23.84
05/06/03	23.41
05/07/03	23.98
05/08/03	24.83
05/09/03	25.33
05/12/03	25.56
05/13/03	25.52
05/14/03	26.36
05/15/03	27.02
05/16/03	27
05/19/03	27.35
05/20/03	26.26
05/21/03	27.26
05/22/03	26.65
05/23/03	26.96
05/26/03	26.96
05/27/03	26.26
05/28/03	26.26
05/29/03	26.49
05/30/03	26.79
06/02/03	28.08
06/03/03	28.04
06/04/03	27.59
06/05/03	28.06
06/06/03	28.03
06/09/03	28.58
06/10/03	28.21
06/11/03	28.87
06/12/03	28.34
06/13/03	27.2
06/16/03	26.75
06/17/03	26.75
06/18/03	25.85
06/19/03	26.31
06/20/03	26.86
06/23/03	27.02
06/24/03	26.61
06/25/03	27.56
06/26/03	27.38
06/27/03	27.69
06/30/03	28.4
07/01/03	27.9
07/02/03	28.3
07/03/03	28.82
07/04/03	27.85
07/07/03	27.78
07/08/03	27.72
07/09/03	28.14
07/10/03	29.06
07/11/03	29.4
07/14/03	28.76
07/15/03	28.67
07/16/03	28.63
07/17/03	28.84
07/18/03	29.16
07/21/03	28.53
07/22/03	27.86
07/23/03	27.76
07/24/03	27.99
07/25/03	28.44
07/28/03	27.96
07/29/03	28.26
07/30/03	28.17
07/31/03	28.69
08/01/03	29.71
08/04/03	30.16
08/05/03	30.26
08/06/03	29.55
08/07/03	30.19
08/08/03	30.18
08/11/03	30.12
08/12/03	30.17
08/13/03	29.39
08/14/03	28.7
08/15/03	29.24
08/18/03	29.13
08/19/03	29.13
08/20/03	29.15
08/21/03	29.94
08/22/03	30.36
08/25/03	29.95
08/26/03	30
08/27/03	29.66
08/28/03	29.9
08/29/03	30.16
09/01/03	29.67
09/02/03	28.23
09/03/03	28.04
09/04/03	27.59
09/05/03	27.46
09/08/03	27.63
09/09/03	27.33
09/10/03	27.41
09/11/03	27.25
09/12/03	26.58
09/15/03	26.72
09/16/03	26.29
09/17/03	25.94
09/18/03	25.55
09/19/03	25.2
09/22/03	25.69
09/23/03	26.05
09/24/03	26.97
09/25/03	27.3
09/26/03	27.19
09/29/03	27.5
09/30/03	28.27
10/01/03	28.15
10/02/03	28.82
10/03/03	29.26
10/06/03	29.3
10/07/03	29.41
10/08/03	29.08
10/09/03	30.25
10/10/03	31.79
10/13/03	31.18
10/14/03	31.48
10/15/03	31.13
10/16/03	31.06
10/17/03	29.63
10/20/03	29.74
10/21/03	29.77
10/22/03	29.43
10/23/03	29.52
10/24/03	29.83
10/27/03	29.19
10/28/03	28.59
10/29/03	28.46
10/30/03	27.67
10/31/03	28
11/03/03	27.85
11/04/03	27.15
11/05/03	28.2
11/06/03	28.15
11/07/03	28.69
11/10/03	28.63
11/11/03	28.96
11/12/03	28.83
11/13/03	29.33
11/14/03	29.78
11/17/03	29.18
11/18/03	29.3
11/19/03	29.77
11/20/03	29.67
11/21/03	29.38
11/24/03	28.43
11/25/03	27.56
11/26/03	28.4
11/27/03	28.93
11/28/03	28.76
12/01/03	28.26
12/02/03	29.24
12/03/03	28.96
12/04/03	29.27
12/05/03	29.03
12/08/03	30.21
12/09/03	30.33
12/10/03	30.13
12/11/03	29.7
12/12/03	30.09
12/15/03	30.36
12/16/03	30.53
12/17/03	30.95
12/18/03	30.9
12/19/03	30.85
12/22/03	29.83
12/23/03	29.15
12/24/03	29.15
12/25/03	29.15
12/26/03	29.15
12/29/03	29.71
12/30/03	30.05
12/31/03	30.05
01/01/04	30.05
01/02/04	30.1
01/05/04	31.07
01/06/04	31.35
01/07/04	31.17
01/08/04	31.29
01/09/04	32.15
01/12/04	32.32
01/13/04	32.49
01/14/04	31.6
01/15/04	31.56
01/16/04	31.38
01/19/04	31.74
01/20/04	32.06
01/21/04	31.77
01/22/04	31.13
01/23/04	31.53
01/26/04	30.66
01/27/04	30.8
01/28/04	29.89
01/29/04	29.4
01/30/04	29.49
02/02/04	29.44
02/03/04	30.25
02/04/04	29.59
02/05/04	29.14
02/06/04	29.15
02/09/04	29.23
02/10/04	30.02
02/11/04	30.36
02/12/04	30.35
02/13/04	31.36
02/16/04	30.77
02/17/04	31.3
02/18/04	31.55
02/19/04	31.48
02/20/04	31.04
02/23/04	31.62
02/24/04	31.71
02/25/04	32.33
02/26/04	32.52
02/27/04	33.04
03/01/04	33.62
03/02/04	34.39
03/03/04	33.31
03/04/04	33.85
03/05/04	34.41
03/08/04	34.42
03/09/04	33.76
03/10/04	32.96
03/11/04	33.35
03/12/04	32.78
03/15/04	34.09
03/16/04	34.07
03/17/04	34.89
03/18/04	34.54
03/19/04	34.65
03/22/04	33.96
03/23/04	34.57
03/24/04	34.21
03/25/04	33.22
03/26/04	32.71
03/29/04	32.34
03/30/04	33.23
03/31/04	32.15
04/01/04	32.15
04/02/04	30.9
04/05/04	31.09
04/06/04	31.38
04/07/04	33.1
04/08/04	33.71
04/09/04	33.71
04/12/04	34.33
04/13/04	33.74
04/14/04	32.86
04/15/04	33.49
04/16/04	33.57
04/19/04	34.17
04/20/04	32.98
04/21/04	32.6
04/22/04	33.46
04/23/04	33.33
04/26/04	33.53
04/27/04	34.1
04/28/04	34.83
04/29/04	34.25
04/30/04	35.16
05/03/04	35.95
05/04/04	36.29
05/05/04	36.76
05/06/04	37.28
05/07/04	37.54
05/10/04	37.14
05/11/04	37.16
05/12/04	38.46
05/13/04	38.52
05/14/04	39.45
05/17/04	38.87
05/18/04	38.15
05/19/04	38.77
05/20/04	38.91
05/21/04	37.4
05/24/04	38.98
05/25/04	38.04
05/26/04	38.04
05/27/04	36.68
05/28/04	36.9
05/31/04	36.9
06/01/04	38.98
06/02/04	38.29
06/03/04	36.1
06/04/04	35.68
06/07/04	35.23
06/08/04	35.44
06/09/04	34.62
06/10/04	35.34
06/11/04	35.35
06/14/04	34.89
06/15/04	34.4
06/16/04	34.24
06/17/04	35.23
06/18/04	35.42
06/21/04	35.08
06/22/04	34.68
06/23/04	34.33
06/24/04	34.63
06/25/04	34.35
06/28/04	33.06
06/29/04	32.81
06/30/04	33.17
07/01/04	34.9
07/02/04	35.21
07/05/04	35.71
07/06/04	36.55
07/07/04	36.54
07/08/04	37.26
07/09/04	37.67
07/12/04	37.7
07/13/04	36.37
07/14/04	37.06
07/15/04	38.47
07/16/04	38.92
07/19/04	39.35
07/20/04	39.04
07/21/04	38.83
07/22/04	39.47
07/23/04	39.53
07/26/04	39.54
07/27/04	40.23
07/28/04	41.43
07/29/04	40.92
07/30/04	41.66
08/02/04	41.91
08/03/04	42.25
08/04/04	43.09
08/05/04	43.65
08/06/04	43.33
08/09/04	43.56
08/10/04	43.3
08/11/04	43.26
08/12/04	43.97
08/13/04	44.46
08/16/04	44.4
08/17/04	44.12
08/18/04	43.97
08/19/04	44.84
08/20/04	45.29
08/23/04	44.28
08/24/04	43.31
08/25/04	42.3
08/26/04	40.49
08/27/04	40.67
08/30/04	40.67
08/31/04	39.74
09/01/04	40.94
09/02/04	42.24
09/03/04	41.04
09/06/04	40.51
09/07/04	40.23
09/08/04	40.64
09/09/04	41.75
09/10/04	41.59
09/13/04	41.26
09/14/04	41.98
09/15/04	42.26
09/16/04	41.06
09/17/04	42.9
09/20/04	43.31
09/21/04	44.39
09/22/04	46.03
09/23/04	46.63
09/24/04	46.12
09/27/04	46.85
09/28/04	46.93
09/29/04	46.55
09/30/04	47.2
10/01/04	46.76
10/04/04	46.49
10/05/04	46.9
10/06/04	47.49
10/07/04	48.65
10/08/04	49.69
10/11/04	51.34
10/12/04	51.59
10/13/04	49.1
10/14/04	51.23
10/15/04	51.08
10/18/04	49.05
10/19/04	48.69
10/20/04	50.59
10/21/04	51.18
10/22/04	52.07
10/25/04	51.91
10/26/04	51.53
10/27/04	50.17
10/28/04	49.51
10/29/04	47.8
11/01/04	45.87
11/02/04	45.73
11/03/04	44.95
11/04/04	45.26
11/05/04	43.96
11/08/04	43.92
11/09/04	42.58
11/10/04	42.69
11/11/04	41.53
11/12/04	42.05
11/15/04	40.4
11/16/04	41.07
11/17/04	39.74
11/18/04	40.19
11/19/04	42.31
11/22/04	42.27
11/23/04	43.59
11/24/04	42.62
11/25/04	42.75
11/26/04	43
11/29/04	43.99
11/30/04	44.07
12/01/04	41.75
12/02/04	38.72
12/03/04	37.74
12/06/04	38.16
12/07/04	36.98
12/08/04	37.6
12/09/04	38.51
12/10/04	38.23
12/13/04	36.98
12/14/04	38.18
12/15/04	41.43
12/16/04	41.11
12/17/04	43.33
12/20/04	42.36
12/21/04	42.6
12/22/04	40.54
12/23/04	40.55
12/24/04	40.55
12/27/04	38.12
12/28/04	38.1
12/29/04	39.04
12/30/04	39.93
12/31/04	39.93
01/03/05	38.25
01/04/05	40.31
01/05/05	41.13
01/06/05	43.09
01/07/05	43.57
01/10/05	45.24
01/11/05	43.68
01/12/05	43.21
01/13/05	45.57
01/14/05	45.59
01/17/05	45.13
01/18/05	44.77
01/19/05	45.08
01/20/05	43.97
01/21/05	45.78
01/24/05	45.62
01/25/05	45.97
01/26/05	46.59
01/27/05	46.81
01/28/05	45.34
01/31/05	44.26
02/01/05	45.03
02/02/05	44.01
02/03/05	43.11
02/04/05	43.67
02/07/05	42.86
02/08/05	42.7
02/09/05	43.11
02/10/05	43.72
02/11/05	44.27
02/14/05	44.3
02/15/05	44.95
02/16/05	44.52
02/17/05	45.91
02/18/05	45.39
02/21/05	46.05
02/22/05	47.57
02/23/05	47.88
02/24/05	49.35
02/25/05	49.64
02/28/05	49.91
03/01/05	50.01
03/02/05	50.76
03/03/05	53.18
03/04/05	52.17
03/07/05	51.38
03/08/05	53.04
03/09/05	54.02
03/10/05	53.25
03/11/05	53.35
03/14/05	52.92
03/15/05	53.72
03/16/05	54.95
03/17/05	55.67
03/18/05	55.73
03/21/05	55.18
03/22/05	55.23
03/23/05	51.64
03/24/05	52.58
03/25/05	52.58
03/28/05	51.13
03/29/05	51.41
03/30/05	50.79
03/31/05	53.24
04/01/05	53.81
04/04/05	55.45
04/05/05	54.52
04/06/05	54.5
04/07/05	54.32
04/08/05	51.95
04/11/05	50.83
04/12/05	51.42
04/13/05	50.02
04/14/05	49.76
04/15/05	49.34
04/18/05	48.78
04/19/05	50.19
04/20/05	51.52
04/21/05	51.8
04/22/05	53.31
04/25/05	53.03
04/26/05	51.68
04/27/05	51.39
04/28/05	50.22
04/29/05	50.61
05/02/05	48.97
05/03/05	50.15
05/04/05	50.6
05/05/05	49.36
05/06/05	49.89
05/09/05	49.5
05/10/05	50.71
05/11/05	49.41
05/12/05	46.82
05/13/05	46.12
05/16/05	47.7
05/17/05	47.9
05/18/05	47.1
05/19/05	47.11
05/20/05	47.05
05/23/05	47.28
05/24/05	47.41
05/25/05	49.12
05/26/05	49.43
05/27/05	49.71
05/30/05	49.71
05/31/05	49.6
06/01/05	50.44
06/02/05	51.33
06/03/05	52.12
06/06/05	52.38
06/07/05	51.78
06/08/05	51.88
06/09/05	51.67
06/10/05	52.38
06/13/05	52.07
06/14/05	53.52
06/15/05	54.94
06/16/05	54.32
06/17/05	56.91
06/20/05	57.15
06/21/05	57.07
06/22/05	56.08
06/23/05	57.2
06/24/05	57.22
06/27/05	58.47
06/28/05	57.7
06/29/05	55.58
06/30/05	55.62
07/01/05	56.64
07/04/05	57.17
07/05/05	57.68
07/06/05	58.54
07/07/05	57.53
07/08/05	59.01
07/11/05	56.25
07/12/05	59.02
07/13/05	58.41
07/14/05	56.73
07/15/05	57.01
07/18/05	56.77
07/19/05	56.78
07/20/05	56.47
07/21/05	55.63
07/22/05	57.01
07/25/05	57.53
07/26/05	58.59
07/27/05	58.57
07/28/05	58.25
07/29/05	59.75
08/01/05	60.52
08/02/05	60.23
08/03/05	60.28
08/04/05	60.89
08/05/05	60.93
08/08/05	63.1
08/09/05	62.8
08/10/05	63.75
08/11/05	66.22
08/12/05	67.18
