date,crudedaily.rets
6/2/1987,0.764724604
6/3/1987,0.859676597
6/4/1987,-0.606062461
6/5/1987,0.252972561
6/8/1987,0.704937461
6/9/1987,-0.503019169
6/10/1987,-0.050441363
6/11/1987,0.151247823
6/12/1987,0.352024502
6/15/1987,0.700353038
6/16/1987,1.041417793
6/17/1987,0.639294039
6/18/1987,0.44020614
6/19/1987,0.729397836
6/22/1987,-0.729397836
6/23/1987,-2.720919772
6/24/1987,0.948347512
6/25/1987,0.099304874
6/26/1987,0.938510223
6/29/1987,0.196463717
6/30/1987,-0.837649638
7/1/1987,1.229422911
7/2/1987,0.730463438
7/3/1987,0
7/6/1987,1.445111854
7/7/1987,-0.719945514
7/8/1987,0.815547816
7/9/1987,1.846206284
7/10/1987,0.093764658
7/13/1987,0.187265972
7/14/1987,1.208754838
7/15/1987,2.644933023
7/16/1987,0.985229644
7/17/1987,0
7/20/1987,-0.985229644
7/21/1987,-2.137902668
7/22/1987,-0.138026247
7/23/1987,-2.328936188
7/24/1987,-3.111042952
7/27/1987,-0.340881752
7/28/1987,4.062685353
7/29/1987,0.653597098
7/30/1987,-0.139697345
7/31/1987,-0.139892772
8/3/1987,3.575082842
8/4/1987,-1.77156575
8/5/1987,-2.130696631
8/6/1987,-0.94074071
8/7/1987,-0.759016927
8/10/1987,-1.487194597
8/11/1987,1.819973606
8/12/1987,-0.571158145
8/13/1987,-0.911058807
8/14/1987,-1.1628038
8/17/1987,-3.319601317
8/18/1987,-0.10080646
8/19/1987,-0.657730679
8/20/1987,-1.225755899
8/21/1987,-1.345079772
8/24/1987,-0.156372198
8/25/1987,0.675853885
8/26/1987,0.979641761
8/27/1987,1.020937913
8/28/1987,-1.277809362
8/31/1987,1.582069231
9/1/1987,-0.762392511
9/2/1987,0.051007397
9/3/1987,-0.716482082
9/4/1987,-0.721652616
9/7/1987,0
9/8/1987,-1.77457684
9/9/1987,2.239093804
9/10/1987,1.48226583
9/11/1987,-1.533772398
9/14/1987,1.127061111
9/15/1987,0.152710643
9/16/1987,0.254000645
9/17/1987,-0.712833976
9/18/1987,0
9/21/1987,0.966191091
9/22/1987,-2.096727284
9/23/1987,1.538491884
9/24/1987,-0.254777208
9/25/1987,-0.665474685
9/28/1987,0
9/29/1987,0.512296202
9/30/1987,0.20418588
10/1/1987,0
10/2/1987,1.367456102
10/5/1987,-0.403226353
10/6/1987,-2.454110892
10/7/1987,1.795380362
10/8/1987,0.456505992
10/9/1987,-0.50735776
10/12/1987,0
10/13/1987,-0.05087764
10/14/1987,0.659398788
10/15/1987,-0.050568901
10/16/1987,2.3001014
10/19/1987,-2.198989157
10/20/1987,0
10/21/1987,0.654749254
10/22/1987,1.296776277
10/23/1987,-0.049566296
10/26/1987,-0.896420345
10/27/1987,0.747573878
10/28/1987,-0.248570846
10/29/1987,-0.849792667
10/30/1987,0.200601873
11/2/1987,-1.667126259
11/3/1987,-1.230153903
11/4/1987,-1.611680323
11/5/1987,-0.367550952
11/6/1987,-1.537268545
11/9/1987,-0.374632496
11/10/1987,1.701263786
11/11/1987,-0.316790128
11/12/1987,0.105708255
11/13/1987,-0.26448045
11/16/1987,-1.064972792
11/17/1987,-2.219306241
11/18/1987,1.897590146
11/19/1987,-0.430571171
11/20/1987,1.764279924
11/23/1987,2.253173653
11/24/1987,-2.997857945
11/25/1987,-0.535333184
11/26/1987,0
11/27/1987,0
11/30/1987,-0.59219554
12/1/1987,-0.487145754
12/2/1987,0.81059617
12/3/1987,1.548762599
12/4/1987,-1.065540183
12/7/1987,-2.056349515
12/8/1987,-1.320877762
12/9/1987,2.570554444
12/10/1987,-0.054010263
12/11/1987,-1.08637679
12/14/1987,-4.696223454
12/15/1987,-4.268405908
12/16/1987,-4.708910283
12/17/1987,-0.062637021
12/18/1987,-2.538207327
12/21/1987,-2.8685148
12/22/1987,9.338432461
12/23/1987,0.240674003
12/24/1987,-0.663252356
12/25/1987,0
12/28/1987,-0.424371658
12/29/1987,2.933463858
12/30/1987,0.058979654
12/31/1987,-1.365411537
1/1/1988,0
1/4/1988,5.974522257
1/5/1988,0.673403218
1/6/1988,-0.898882457
1/7/1988,-2.456564548
1/8/1988,0.173360344
1/11/1988,-4.065360993
1/12/1988,0.718996507
1/13/1988,-1.201215645
1/14/1988,3.21073953
1/15/1988,-1.058833422
1/18/1988,2.106572925
1/19/1988,0.115740754
1/20/1988,-0.521891588
1/21/1988,0
1/22/1988,-1.287320294
1/25/1988,0.704228263
1/26/1988,-0.822083314
1/27/1988,-1.964933716
1/28/1988,1.787890294
1/29/1988,0.177043422
2/1/1988,-0.828897582
2/2/1988,0.533650837
2/3/1988,1.175792499
2/4/1988,0.291800616
2/5/1988,1.043487729
2/8/1988,2.054866823
2/9/1988,-1.824451974
2/10/1988,-1.565703193
2/11/1988,0.291800616
2/12/1988,-1.882408525
2/15/1988,0
2/16/1988,-0.297353772
2/17/1988,-1.077854746
2/18/1988,-0.725078705
2/19/1988,1.385147109
2/22/1988,-0.539731445
