lpalm	lcrude_brent	lcrude_wti	lcrude_dubai	lrubber
6.204557763	3.382354294	3.496204485	3.3130945	4.82518886
6.204557763	3.388449809	3.481547734	3.337547355	4.818828898
6.18929029	3.46260601	3.537475	3.38269391	4.78423645
6.209595557	3.456316681	3.559909073	3.339321978	4.776430795
6.214608098	3.449670035	3.553632305	3.380994674	4.775334813
6.234410726	3.381334753	3.50134433	3.325755186	4.797277044
6.249009525	3.369706715	3.48093235	3.318902139	4.794053501
6.268148865	3.440418095	3.541249137	3.351306612	4.817697585
6.327936784	3.446170747	3.577947893	3.383033411	4.836678654
6.323462503	3.503453082	3.585738695	3.383033411	4.876570426
6.323462503	3.536019607	3.619261387	3.423936869	4.865532448
6.309918278	3.501042717	3.589887505	3.431403224	4.859424732
6.323462503	3.548754946	3.63995178	3.436886224	4.848116365
6.323462503	3.490733347	3.572626497	3.418054499	4.840874519
6.300785795	3.427189962	3.537765824	3.380314171	4.854293326
6.29156914	3.524004811	3.614694556	3.441699325	4.857328702
6.253828812	3.522234377	3.629660094	3.474447843	4.870606649
6.29156914	3.502549876	3.616577542	3.463546007	4.846075067
6.311371767	3.553632305	3.619261387	3.502248626	4.847096237
6.309918278	3.624874124	3.688379329	3.536310855	4.84292645
6.29156914	3.667400422	3.723763856	3.572345638	4.832544774
6.29156914	3.618725194	3.684620397	3.55820113	4.840874519
6.136646557	3.610377226	3.686376324	3.540089381	4.82518886
6.103676538	3.568969157	3.649098584	3.517794529	4.802708709
6.069582326	3.562465529	3.649358696	3.520756617	4.785322725
6.057954288	3.575150689	3.655322671	3.538928277	4.78857449
6.057954288	3.543564623	3.620065138	3.491951745	4.802708709
6.069582326	3.561897992	3.647275904	3.514526067	4.774237627
6.052089169	3.618993327	3.686376324	3.54731589	4.769751986
6.063785209	3.665098925	3.716008122	3.562465529	4.748404354
6.090630919	3.677818507	3.733374694	3.556204837	4.747190446
6.13491533	3.734091797	3.777805663	3.591817741	4.752900298
6.081076706	3.759104899	3.783052624	3.637059705	4.758577733
6.109247583	3.806217947	3.84181511	3.657646752	4.764223116
6.120297419	3.792112709	3.862832761	3.724005256	4.751778206
6.163314804	3.706228092	3.763754989	3.613347392	4.743801054
6.120297419	3.714790836	3.782825067	3.601686242	4.747190446
6.120297419	3.727859754	3.757472246	3.579901292	4.736899957
6.092440464	3.758871826	3.820565395	3.524888854	4.746061925
6.079933195	3.831246695	3.888959066	3.590715205	4.767544105
6.081076706	3.845028137	3.915217896	3.645971953	4.785322725
6.069582326	3.905803706	3.977810746	3.627269972	4.787491743
6.081076706	3.933393031	4.005331183	3.628332954	4.814539304
6.057954288	3.952588967	4.022311359	3.63521493	4.814539304
6.092440464	3.867025639	3.947003974	3.576550269	4.82518886
6.057954288	3.78328013	3.90499839	3.562181801	4.826231571
6.075346031	3.738859386	3.856510295	3.515715835	4.833579847
6.086774727	3.745023465	3.889777396	3.481855285	4.812428228
6.074195945	3.761200116	3.894673367	3.56416621	4.766438334
6.057954288	3.63072054	3.750914845	3.490428515	4.759692225
6.05608119	3.643620548	3.706473763	3.51244056	4.755140713
6.024173722	3.768845236	3.83535792	3.565581238	4.777609743
6.03787092	3.702535781	3.788498519	3.543564623	4.769751986
6.040254711	3.77436884	3.769537357	3.526654599	4.773139237
6.01615716	3.77436884	3.813748436	3.599228232	4.775334813
6.002157177	3.819688394	3.879706404	3.669186821	4.758577733
5.987456526	3.823847315	3.877638579	3.666122467	4.781976562
5.995705541	3.814189645	3.853334009	3.693866996	4.813484323
5.985194934	3.776661367	3.838376465	3.6519561	4.823019749
5.985194934	3.790307247	3.853334009	3.662022	4.82518886
6.016644846	3.815291816	3.880532338	3.690877457	4.832544774
6.040254711	3.90479696	3.955082495	3.731938944	4.836678654
6.057954288	3.954507617	3.983413002	3.782825067	4.837709459
6.086774727	3.976873978	3.996364154	3.799525974	4.81023123
6.063785209	4.020518602	4.039536326	3.855029284	4.818828898
6.048081148	3.962335819	3.906004933	3.848017675	4.805986325
6.052089169	3.985459324	4.0476023	3.876395828	4.817697585
