roilf	roilf1
1.857408524	-0.858694841
-0.442641815	1.857408524
-1.86572576	-0.442641815
2.418722561	-1.86572576
0	2.418722561
-0.997606648	0
0.074239053	-0.997606648
2.310757501	0.074239053
1.618449281	2.310757501
-1.437322624	1.618449281
0	-1.437322624
0	0
0	0
6.650455682	0
-2.468414666	6.650455682
-3.92901359	-2.468414666
-3.602006452	-3.92901359
-0.487714341	-3.602006452
-2.359317958	-0.487714341
-16.54451301	-2.359317958
-0.912831532	-16.54451301
2.579912267	-0.912831532
1.595778544	2.579912267
2.98917642	1.595778544
-0.642262966	2.98917642
-2.127277961	-0.642262966
-3.164962185	-2.127277961
2.460423824	-3.164962185
-1.066202903	2.460423824
0.267618358	-1.066202903
0.133541084	0.267618358
0.222172942	0.133541084
3.532087241	0.222172942
-3.665331765	3.532087241
-0.937716181	-3.665331765
-1.309569404	-0.937716181
-0.867387314	-1.309569404
-2.31921341	-0.867387314
2.410872445	-2.31921341
-0.321174857	2.410872445
0.412749955	-0.321174857
2.173014431	0.412749955
-1.443417031	2.173014431
0.090826528	-1.443417031
0.543233568	0.090826528
-1.27216618	0.543233568
-3.205849452	-1.27216618
-3.801275559	-3.205849452
-1.035256966	-3.801275559
-0.796024104	-1.035256966
-0.500752173	-0.796024104
0.849792667	-0.500752173
5.236290632	0.849792667
4.840769906	5.236290632
-4.55775085	4.840769906
2.051353983	-4.55775085
-9.328178154	2.051353983
-12.33073854	-9.328178154
3.269738857	-12.33073854
-1.734309204	3.269738857
7.760877045	-1.734309204
-0.99712188	7.760877045
0	-0.99712188
0	0
-1.434287536	0
4.139967675	-1.434287536
-1.343689467	4.139967675
-3.171513169	-1.343689467
4.309652718	-3.171513169
3.288937979	4.309652718
-2.214484051	3.288937979
-0.81758248	-2.214484051
-4.997095338	-0.81758248
2.661146923	-4.997095338
-3.582313014	2.661146923
-1.591254426	-3.582313014
1.536803023	-1.591254426
-1.315808458	1.536803023
5.945525899	-1.315808458
-0.052015606	5.945525899
0.725767831	-0.052015606
2.247285585	0.725767831
-2.661364852	2.247285585
1.748116495	-2.661364852
0	1.748116495
0	0
8.074817507	0
-1.754847024	8.074817507
-2.372418215	-1.754847024
-2.832487497	-2.372418215
0	-2.832487497
5.7298413	0
-3.093528462	5.7298413
5.955558197	-3.093528462
-0.649654257	5.955558197
-1.076537427	-0.649654257
-5.166488044	-1.076537427
0.986201287	-5.166488044
-3.495113617	0.986201287
-4.097021011	-3.495113617
0.052924055	-4.097021011
-0.211864486	0.052924055
-4.833957641	-0.211864486
0.16680571	-4.833957641
0	0.16680571
1.871270893	0
6.132999874	1.871270893
1.020417017	6.132999874
1.461351277	1.020417017
0.299700524	1.461351277
-2.372051665	0.299700524
-2.586797108	-2.372051665
2.074763219	-2.586797108
4.516572958	2.074763219
-1.532786499	4.516572958
0	-1.532786499
-1.455483661	0
-0.710302327	-1.455483661
3.108019589	-0.710302327
5.520960378	3.108019589
-3.227617615	5.520960378
2.147541373	-3.227617615
0.235793554	2.147541373
1.263765942	0.235793554
0	1.263765942
-2.926117212	0
-2.866360918	-2.926117212
3.201049253	-2.866360918
0.571158145	3.201049253
-2.840142764	0.571158145
4.440930243	-2.840142764
-0.56206237	4.440930243
2.091640279	-0.56206237
2.990707717	2.091640279
0.222965533	2.990707717
3.156772426	0.222965533
-0.086355791	3.156772426
2.390211955	-0.086355791
0.546794212	2.390211955
1.952294613	0.546794212
-0.453515517	1.952294613
-0.16542601	-0.453515517
1.642073021	-0.16542601
-0.203790574	1.642073021
2.418497563	-0.203790574
-0.92019053	2.418497563
0.08035356	-0.92019053
2.811509674	0.08035356
-1.020417017	2.811509674
-1.430298519	-1.020417017
1.469738472	-1.430298519
1.991086663	1.469738472
1.686509885	1.991086663
0	1.686509885
2.14334206	0
3.041084322	2.14334206
-0.542791273	3.041084322
-3.620639286	-0.542791273
-1.401803595	-3.620639286
1.251201157	-1.401803595
-2.750364349	1.251201157
1.193469411	-2.750364349
-4.460833469	1.193469411
-6.275273498	-4.460833469
4.580317667	-6.275273498
0.729930248	4.580317667
4.696068987	0.729930248
0.920958159	4.696068987
0.761038681	0.920958159
-0.417854359	0.761038681
1.323520927	-0.417854359
-0.905666568	1.323520927
1.318038286	-0.905666568
1.411613336	1.318038286
1.682556153	1.411613336
-1.020789032	1.682556153
-1.998586138	-1.020789032
-1.924950927	-1.998586138
1.437784889	-1.924950927
-1.896150856	1.437784889
1.933709542	-1.896150856
4.479456655	1.933709542
-0.612283562	4.479456655
1.113717278	-0.612283562
1.38373682	1.113717278
