"","KLSE.Open","KLSE.Close","KLSE.Adjusted"
"2965",1641.849976,1641.420044,1641.420044
"2966",1651.449951,1645.280029,1645.280029
"2967",1645.719971,1643.290039,1643.290039
"2968",1635.73999,1636.98999,1636.98999
"2969",1634.310059,1637.790039,1637.790039
"2970",1631.72998,1634.300049,1634.300049
"2971",1633.560059,1634.52002,1634.52002
"2972",1638.819946,1629.589966,1629.589966
"2973",1629.030029,1623.199951,1623.199951
"2974",1622.089966,1617.150024,1617.150024
"2975",1618.47998,1619.680054,1619.680054
"2976",1620.890015,1630.300049,1630.300049
"2977",1629.849976,1637.930054,1637.930054
"2978",1637.449951,1641.72998,1641.72998
"2979",NA,NA,NA
"2980",1636.939941,1635.530029,1635.530029
"2981",1638.97998,1647.469971,1647.469971
"2982",1647.98999,1659.819946,1659.819946
"2983",1658.420044,1675.48999,1675.48999
"2984",1675.329956,1667.900024,1667.900024
"2985",1668.359985,1672.050049,1672.050049
"2986",1672.800049,1675.209961,1675.209961
"2987",1675.640015,1677.76001,1677.76001
"2988",1677.680054,1672.5,1672.5
"2989",1672.02002,1658.839966,1658.839966
"2990",1660.300049,1663.030029,1663.030029
"2991",1663.380005,1665.02002,1665.02002
"2992",1666.900024,1666.51001,1666.51001
"2993",1665.160034,1664.890015,1664.890015
"2994",1665.920044,1671.310059,1671.310059
"2995",1674.369995,1680.689941,1680.689941
"2996",1683.459961,1683.930054,1683.930054
"2997",1684.849976,1692.219971,1692.219971
"2998",1695.640015,1686.359985,1686.359985
"2999",1686.449951,1671.540039,1671.540039
"3000",1670.400024,1673.47998,1673.47998
"3001",1674.800049,1685.01001,1685.01001
"3002",1686.069946,1691.23999,1691.23999
"3003",1687.72998,1688.839966,1688.839966
"3004",1687.140015,1688.5,1688.5
"3005",1699.72998,1698.939941,1698.939941
"3006",1701.140015,1710.23999,1710.23999
"3007",1709.969971,1708.900024,1708.900024
"3008",1708.089966,1709.790039,1709.790039
"3009",1707.609985,1707.589966,1707.589966
"3010",1705.810059,1707.680054,1707.680054
"3011",1706.170044,1712.579956,1712.579956
"3012",1712.949951,1706.550049,1706.550049
"3013",1708.689941,1708.079956,1708.079956
"3014",1709.540039,1704.47998,1704.47998
"3015",1706.47998,1698.349976,1698.349976
"3016",1697.900024,1693.839966,1693.839966
